tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,tmdb_id,popularity,original_language,release_date,tmdb_vote_average,tmdb_vote_count,tmdb_genres
tt4198226,Little Hero,1967.0,95.0,"Action,Fantasy",,,755258.0,0.0997,fa,1967-01-01,0.0,0.0,
tt12513844,Chronicles of Her,2020.0,99.0,Drama,7.9,18.0,845813.0,0.0915,ar,2020-12-10,0.0,0.0,Drama
tt11300738,Who Am I Now?,2021.0,92.0,"Drama,Romance",4.1,258.0,834504.0,0.1935,en,2021-06-28,1.8,6.0,"Drama,Romance"
tt0260902,The Fifth Season,1978.0,88.0,"Drama,Romance,Sport",7.3,20.0,446543.0,0.6159,af,1978-11-29,5.0,1.0,
tt0123755,Cube,1997.0,90.0,"Horror,Mystery,Sci-Fi",7.1,260776.0,431.0,3.831,en,1998-07-11,6.817,5150.0,"Thriller,Science Fiction,Mystery"
tt35667712,Thunder Rolls: The World of Blind Baseball,2025.0,96.0,Documentary,,,,,,,,,
tt28430975,Blackmail,2023.0,,Drama,,,,,,,,,
tt28290687,The Story of Playstation,2023.0,47.0,Documentary,4.2,227.0,1201842.0,0.2792,en,2023-11-23,4.5,4.0,Documentary
tt8743156,Khaidi Nagamma,1987.0,,Drama,,,,,,,,,
tt2330733,Biomass,2021.0,87.0,Horror,6.2,36.0,805688.0,0.2717,en,2021-03-20,4.7,3.0,"Horror,Science Fiction"
tt3021830,Ek Chalbaaz,1983.0,,Action,,,,,,,,,
tt26349892,Potraga za Gusterom,2023.0,52.0,Documentary,9.2,8.0,,,,,,,
tt30290848,Chateau,2024.0,83.0,"Horror,Thriller",4.1,349.0,1316291.0,0.6132,en,2024-12-06,3.9,7.0,"Horror,Thriller"
tt21290950,Not All of Me Will Die,2022.0,78.0,Documentary,,,1023664.0,0.0621,pl,2022-09-07,0.0,0.0,Documentary
tt4645004,The Takeover,2015.0,,Documentary,,,,,,,,,
tt14549558,The House of Flowers: The Movie,2021.0,86.0,"Comedy,Drama",5.6,1125.0,833971.0,0.7604,es,2021-06-22,8.0,120.0,Drama
tt0930044,"Bikini-Blitzkrieg, Part One: Dance Domination",2006.0,76.0,Sci-Fi,6.1,61.0,1517395.0,0.4794,en,2006-12-08,0.0,0.0,
tt5963218,Aloko Udapadi,2017.0,113.0,"Drama,History",8.3,6959.0,443125.0,0.2153,si,2017-01-20,7.5,4.0,History
tt0139411,Kun onni pettää,1913.0,71.0,Drama,,,955037.0,0.0143,fi,1913-11-23,0.0,0.0,Drama
tt0005418,The Great Ruby,1915.0,,Drama,,,942359.0,0.1373,en,1915-09-10,0.0,0.0,Drama
tt0252596,Keriz,1985.0,89.0,"Comedy,Drama,Romance",6.5,1909.0,436067.0,0.2956,tr,1985-12-01,6.3,25.0,"Comedy,Romance"
tt12056104,Zawga Le Khamssat Regal,1970.0,,Drama,5.2,16.0,667414.0,0.5129,ar,1970-01-01,0.0,0.0,Drama
tt0252206,Such Is Life,1935.0,115.0,"Drama,Romance",,,,,,,,,
tt0027761,Hot Money,1936.0,68.0,"Comedy,Romance",6.1,128.0,176857.0,0.2827,en,1936-07-18,4.0,1.0,Comedy
tt34622349,Half-Life 2: 20th Anniversary Documentary,2024.0,121.0,Documentary,7.7,207.0,1553126.0,0.0239,en,2024-11-15,8.5,2.0,Documentary
tt13781888,Matança da Páscoa,2015.0,,Documentary,7.6,5.0,,,,,,,
tt10283474,Frammenti,2020.0,78.0,Comedy,,,854315.0,0.0947,it,2019-10-19,10.0,1.0,"Comedy,Drama"
tt0012581,Power,1918.0,,Drama,4.3,21.0,,,,,,,
tt30803479,The Secrets We Keep,2024.0,90.0,Thriller,6.1,16.0,1310522.0,0.0413,en,2024-06-29,0.0,0.0,"Thriller,Crime"
tt15355308,The Sleepover,2022.0,,Horror,,,,,,,,,
tt13282798,Pandith Bhagyavidhatha,2015.0,134.0,Drama,,,,,,,,,
tt0108171,Sniper,1993.0,98.0,"Action,Thriller,War",6.1,26869.0,9545.0,2.6572,en,1993-01-29,6.2,459.0,"Action,Drama,Thriller"
tt33064467,Sinéad,2024.0,,Documentary,,,,,,,,,
tt0146670,On My Own,1988.0,95.0,Drama,7.8,21.0,860956.0,0.0071,he,1988-08-03,8.0,1.0,Drama
tt5959460,Jola,2016.0,84.0,Drama,8.3,13.0,805558.0,0.0,de,,0.0,0.0,
tt0077557,Five Days from Home,1978.0,108.0,"Action,Crime,Drama",6.1,179.0,262179.0,0.4729,en,1978-07-30,6.0,3.0,Drama
tt4446578,De Nood Aan Dansen,2014.0,59.0,"Biography,Documentary,Music",,,,,,,,,
tt33319549,Joker,1966.0,,Drama,,,,,,,,,
tt1602617,The Corridor,2010.0,98.0,"Drama,Horror,Sci-Fi",4.8,2952.0,77444.0,0.5781,en,2012-03-30,4.8,47.0,"Drama,Science Fiction,Thriller,Horror"
tt8906344,One More Year,2019.0,73.0,"Documentary,Drama,Family",7.5,7.0,649992.0,0.0352,es,2019-11-22,0.0,0.0,Documentary
tt2240046,Pro Wrestlers vs Zombies,2014.0,91.0,"Action,Comedy,Horror",3.1,728.0,262474.0,0.3327,en,2014-03-28,4.6,15.0,"Horror,Action,Comedy,Thriller"
tt36164099,Beyond the Drumlins,2025.0,95.0,"Horror,Mystery,Sci-Fi",8.3,48.0,1443768.0,0.2598,en,2025-11-09,0.0,0.0,"Horror,Science Fiction"
tt0018319,The Return of Boston Blackie,1927.0,77.0,"Crime,Drama",5.8,68.0,234264.0,0.3354,en,1927-08-01,6.5,2.0,"Crime,Drama"
tt0200879,El mundo que inventamos,1973.0,84.0,"Comedy,Musical",7.0,13.0,825655.0,0.3167,es,1973-02-22,0.0,0.0,"Drama,Music"
tt14727478,Night on Sixth,2021.0,63.0,Comedy,,,,,,,,,
tt0388420,Sky High,1974.0,83.0,Documentary,,,,,,,,,
tt1623011,The Curse of the Sands,2010.0,,History,,,,,,,,,
tt2733124,The Last Exit,2014.0,,Horror,7.6,20.0,212693.0,0.1611,en,2013-01-01,1.0,1.0,Horror
tt20561442,Maria Bellonci - La signora dei libri,2022.0,,Documentary,,,,,,,,,
tt3074668,Broken Dolls,2009.0,85.0,History,,,,,,,,,
tt6603708,Umutsuzlar,1986.0,,"Drama,Romance",,,,,,,,,
tt3125620,Super Tuesday,2013.0,73.0,Drama,5.9,20.0,814058.0,0.0869,en,2013-08-20,8.0,1.0,Drama
tt12453404,Voyage au Centre du Monde (Carnet Filmé: 16 mars 1997 - 16 avril 1997),1998.0,70.0,Documentary,,,,,,,,,
tt0275729,Tikhaya zastava,1986.0,90.0,Drama,4.9,15.0,641226.0,0.6867,ru,1985-01-01,0.0,0.0,Romance
tt14772204,El pais mas feliz del mundo,2018.0,87.0,Drama,,,,,,,,,
tt8171022,Ishq Tera,2018.0,122.0,"Drama,Romance,Thriller",6.1,40.0,515194.0,0.1599,hi,2018-04-20,0.0,0.0,Romance
tt6237168,Boogie Man,2018.0,99.0,"Comedy,Music,Romance",4.1,159.0,606711.0,0.7175,en,2018-03-30,9.0,1.0,"Comedy,Music,Romance"
tt0843612,Just Like Before,2006.0,105.0,"Drama,Music",6.8,25.0,208574.0,0.1005,tl,2006-07-20,6.0,1.0,"Drama,Music"
tt9109760,Before Oblivion,2018.0,103.0,Drama,6.3,30.0,553774.0,0.5507,es,2018-10-23,5.3,3.0,Drama
tt21288074,Peter O'Toole: Along the Sky Road to Aqaba,2022.0,90.0,Documentary,6.7,229.0,1067946.0,1.0695,en,2022-11-26,7.8,6.0,Documentary
tt2432788,Arjun,2008.0,,Drama,5.9,134.0,1230468.0,0.3729,kn,2008-08-12,0.0,0.0,
tt8551696,The Drive,2019.0,77.0,Documentary,7.4,8.0,,,,,,,
tt11051996,Uncle Fun: You're the One,2018.0,60.0,Documentary,,,1622282.0,0.0416,en,,0.0,0.0,Documentary
tt0102718,Prizraki zelyonoy komnaty,1992.0,89.0,"Drama,Fantasy,Romance",6.2,14.0,648898.0,0.7591,ru,1991-08-01,0.0,0.0,"Romance,Fantasy,Drama"
tt5504514,"Animus Animalis (a story about People, Animals and Things)",2018.0,70.0,Documentary,7.1,143.0,560357.0,0.135,lt,2018-11-02,7.0,3.0,Documentary
tt2836642,Apocrypha,2013.0,100.0,Biography,,,,,,,,,
tt0069035,The New Land,1972.0,102.0,"Drama,Western",8.0,5833.0,42488.0,0.8176,sv,1972-02-26,7.5,104.0,"Drama,Western,History"
tt0826746,Family Curse,2006.0,,Horror,,,,,,,,,
tt27635827,Wild Oats,2023.0,,Drama,,,,,,,,,
tt1874416,Aquí y Allá: Here and There,2012.0,110.0,Drama,6.0,248.0,121211.0,0.1264,es,2012-12-21,6.5,17.0,"Drama,Comedy,Romance"
tt10568552,Hamza's suitcase,2017.0,77.0,"Comedy,Crime",4.0,176.0,,,,,,,
tt11390656,Der Boandlkramer und die ewige Liebe,2021.0,87.0,"Comedy,Fantasy,Romance",5.7,802.0,672221.0,0.7458,de,2021-05-14,5.8,34.0,"Comedy,Family,Fantasy,Romance"
